Time,TZone,Severity,Logger,Thread,Text,Unnamed: 6
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: The following loggers will not work because they were created |,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: during the default configuration phase of the underlying logging system. |,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: See also http://www.slf4j.org/codes.html,
2020 05 27 00:56:10,400,ERROR,System.err,Start Level Event Dispatcher,SLF4J: System.out |,
2020 05 27 00:56:10,400,ERROR,com.sap.core.js.conf.agent.FileUtil,Start Level Event Dispatcher,Version file doesn't exist. Fall back will be attempted. |,
2020 05 27 00:56:17,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle com.sap.it.ictools.mapping.core.valuemapping_1.16.4, [SCR] Component definition XMLs not found in bundle com.sap.it.ictools.mapping.core.valuemapping. The component header value is OSGI-INF/*.xml |",
2020 05 27 00:56:17,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.equinox.ds_1.4.0.v20120112-1400, [SCR] Component definition XMLs not found in bundle com.sap.it.ictools.mapping.core.valuemapping. The component header value is OSGI-INF/*.xml |",
2020 05 27 00:56:17,400,ERROR,com.sap.mobile.platform.server.persistence.db2.datasource.Activator,Start Level Event Dispatcher,----- skipped registration of DataSourceFactory service for DB2 - no jdbc driver found ----- |,
2020 05 27 00:56:17,400,ERROR,com.sap.mobile.platform.server.persistence.sqlserver.datasource.Activator,Start Level Event Dispatcher,----- skipped registration of DataSourceFactory service for SQL Server - no jdbc driver found ----- |,
2020 05 27 00:56:37,400,ERROR,com.sap.mobile.platform.server.support.service.impl.LogConfigService,s-reset-log-level-1,Determining if this node is master failed with excepiton No registration exists for the mailboxName=com.sap.mobile.platform.server.configuration.persistence.service.impl.ClusterHandler |,
2020 05 27 00:56:59,400,ERROR,System.err,Agentry Prod Def Load Loop Thread,ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console. |,
2020 05 27 00:57:54,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:56:10.737 org.eclipse.virgo.medic.core, state: ACTIVE, type: END_ACTIVATION, startLevel:2",
2020 05 27 00:58:27,400,ERROR,System.err,Agentry Prod Def Load Loop Thread,ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console. |,
2020 05 27 00:58:54,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:58:54.819 Bundles (and their services) not yet initialized: com.sap.mobile.platform.server.agentry.core <-- Issue",
2020 05 27 00:59:55,400,ERROR,org.osgi.service.log.LogService,org.eclipse.virgo.medic.log.osgi.OSGiLogServiceListener@638083a5,"Bundle org.eclipse.osgi_3.8.2.v20130124-134944-sap-03, SMPServerStatusManager: 2020 05 27 00:59:55.195 Bundles (and their services) not yet initialized: com.sap.mobile.platform.server.agentry.core <-- Issue",
2020 05 27 00:59:55,400,ERROR,com.sap.mobile.platform.server.agentry.console,Agentry Prod Def Load Loop Thread,"Exception: 00:59:55 05/27/2020 : 2 (Socket Error), EADDRINUSE (EADDRINUSE, Attempt to listen on an address in use, ), ..\Socket\win32\sockets.cpp",
